data_size,query_type,strategy,num_partitions,runtime_seconds,max_cpu_pct,max_memory_mib
500mb,aggregate,hive,,17.0,209.42,2833.41
500mb,aggregate,spark_repartition,4,10.0,242.56,3219.46
500mb,aggregate,spark_repartition,16,29.0,256.96,3348.48
500mb,aggregate,spark_repartition,32,29.0,316.49,3635.2
500mb,join,hive,,22.0,186.67,3102.72
500mb,join,spark_repartition,4,20.84,297.76,3051.52
500mb,join,spark_repartition,16,19.72,343.38,3324.93
500mb,join,spark_repartition,32,19.89,270.84,3519.49
500mb,window,hive,,24.0,207.28,2997.25
500mb,window,spark_repartition,4,29.0,130.26,3594.24
500mb,window,spark_repartition,16,28.0,316.82,3696.64
500mb,window,spark_repartition,32,29.0,243.61,3715.07
50mb,aggregate,hive,,18.0,302.21,2888.7
50mb,aggregate,spark_repartition,4,16.0,205.26,2751.49
50mb,aggregate,spark_repartition,16,16.0,381.29,2785.28
50mb,aggregate,spark_repartition,32,17.0,322.15,2811.9
50mb,join,hive,,19.0,239.35,2724.86
50mb,join,spark_repartition,4,17.0,266.37,2805.76
50mb,join,spark_repartition,16,17.0,276.02,2872.32
50mb,join,spark_repartition,32,17.0,114.19,2803.71
50mb,window,hive,,19.0,227.93,2853.89
50mb,window,spark_repartition,4,17.0,219.67,2859.01
50mb,window,spark_repartition,16,12.0,259.59,2882.56
50mb,window,spark_repartition,32,17.0,260.04,2841.6
5gb,aggregate,hive,,11.72,289.92,3009.54
5gb,aggregate,spark_repartition,4,55.63,236.61,4254.72
5gb,aggregate,spark_repartition,16,52.89,319.4,4927.49
5gb,aggregate,spark_repartition,32,51.64,347.21,4973.57
5gb,join,hive,,8.84,193.2,2984.96
5gb,join,spark_repartition,4,54.82,258.39,5035.01
5gb,join,spark_repartition,16,55.76,317.69,5055.49
5gb,join,spark_repartition,32,55.89,323.49,4912.13
5gb,window,hive,,18.87,254.53,3212.29
5gb,window,spark_repartition,4,42.63,237.64,4824.06
5gb,window,spark_repartition,16,43.81,288.91,5039.1
5gb,window,spark_repartition,32,43.94,172.79,5115.9
5mb,aggregate,hive,,16.0,255.99,2781.18
5mb,aggregate,spark_repartition,4,15.0,273.83,2784.26
5mb,aggregate,spark_repartition,16,15.0,246.39,2830.34
5mb,aggregate,spark_repartition,32,14.0,306.2,2804.74
5mb,join,hive,,17.0,299.03,2849.79
5mb,join,spark_repartition,4,14.0,128.5,2802.69
5mb,join,spark_repartition,16,16.0,221.73,2842.62
5mb,join,spark_repartition,32,16.0,325.2,2829.31
5mb,window,hive,,18.0,244.0,2703.36
5mb,window,spark_repartition,4,15.0,237.49,2817.02
5mb,window,spark_repartition,16,15.0,183.98,2827.26
5mb,window,spark_repartition,32,15.0,244.77,2845.7
