"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 14:04:53","7941f509fee6","hdfs-spark-hive-docker-history-1","0.49%","892.3MiB / 23.47GiB","3.71%","57MB / 352kB","0B / 0B","100"
"2025-03-12 14:04:53","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.51%","1.825GiB / 23.47GiB","7.77%","2.32GB / 1.36GB","0B / 0B","235"
"2025-03-12 14:04:53","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","1.36%","1.933GiB / 23.47GiB","8.24%","2.33GB / 1.26GB","0B / 0B","235"
"2025-03-12 14:04:53","a3d3766552e1","hdfs-spark-hive-docker-master-1","6.16%","2.184GiB / 23.47GiB","9.30%","13MB / 2.1GB","0B / 0B","407"
"2025-03-12 14:04:53","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.23MiB / 23.47GiB","0.40%","1.21MB / 1.28MB","0B / 0B","47"
"2025-03-12 14:04:53","ALL","All Containers","9.52%","993.47 MB","5.88%","0 MB / 0 MB","0 MB / 0 MB","1024"
"2025-03-12 14:05:04","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","892.3MiB / 23.47GiB","3.71%","57MB / 353kB","0B / 0B","100"
"2025-03-12 14:05:04","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.44%","1.825GiB / 23.47GiB","7.77%","2.32GB / 1.36GB","0B / 0B","235"
"2025-03-12 14:05:04","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.91%","1.934GiB / 23.47GiB","8.24%","2.34GB / 1.26GB","0B / 0B","235"
"2025-03-12 14:05:04","a3d3766552e1","hdfs-spark-hive-docker-master-1","107.58%","2.637GiB / 23.47GiB","11.23%","13MB / 2.1GB","0B / 0B","497"
"2025-03-12 14:05:04","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.23MiB / 23.47GiB","0.40%","1.21MB / 1.28MB","0B / 0B","47"
"2025-03-12 14:05:04","ALL","All Containers","109.06%","993.93 MB","6.27%","0 MB / 0 MB","0 MB / 0 MB","1114"
"2025-03-12 14:05:15","7941f509fee6","hdfs-spark-hive-docker-history-1","0.15%","892.3MiB / 23.47GiB","3.71%","57.1MB / 356kB","0B / 0B","100"
"2025-03-12 14:05:15","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.96%","2.413GiB / 23.47GiB","10.28%","2.32GB / 1.36GB","0B / 0B","321"
"2025-03-12 14:05:15","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","64.52%","2.211GiB / 23.47GiB","9.42%","2.34GB / 1.26GB","0B / 0B","285"
"2025-03-12 14:05:15","a3d3766552e1","hdfs-spark-hive-docker-master-1","153.27%","2.915GiB / 23.47GiB","12.42%","13.4MB / 2.1GB","0B / 0B","512"
"2025-03-12 14:05:15","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","104.2MiB / 23.47GiB","0.43%","1.32MB / 1.43MB","0B / 0B","51"
"2025-03-12 14:05:15","ALL","All Containers","219.90%","1,004.04 MB","7.25%","0 MB / 0 MB","0 MB / 0 MB","1269"
"2025-03-12 14:05:26","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","892.4MiB / 23.47GiB","3.71%","57.1MB / 358kB","0B / 0B","100"
"2025-03-12 14:05:26","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","193.20%","2.659GiB / 23.47GiB","11.33%","2.32GB / 1.36GB","0B / 0B","325"
"2025-03-12 14:05:26","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","17.16%","1.958GiB / 23.47GiB","8.34%","2.34GB / 1.26GB","0B / 0B","242"
"2025-03-12 14:05:26","a3d3766552e1","hdfs-spark-hive-docker-master-1","4.60%","2.191GiB / 23.47GiB","9.34%","15.6MB / 2.11GB","0B / 0B","411"
"2025-03-12 14:05:26","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","95.23MiB / 23.47GiB","0.40%","1.35MB / 1.51MB","0B / 0B","47"
"2025-03-12 14:05:26","ALL","All Containers","215.10%","994.44 MB","6.62%","0 MB / 0 MB","0 MB / 0 MB","1125"
