"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 14:14:07","7941f509fee6","hdfs-spark-hive-docker-history-1","0.25%","942MiB / 23.47GiB","3.92%","64MB / 454kB","0B / 0B","100"
"2025-03-12 14:14:07","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.98%","3.578GiB / 23.47GiB","15.24%","2.37GB / 1.42GB","0B / 0B","240"
"2025-03-12 14:14:07","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","1.49%","3.705GiB / 23.47GiB","15.78%","2.41GB / 1.31GB","0B / 0B","242"
"2025-03-12 14:14:07","a3d3766552e1","hdfs-spark-hive-docker-master-1","3.45%","2.228GiB / 23.47GiB","9.49%","21.5MB / 2.14GB","0B / 0B","415"
"2025-03-12 14:14:07","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.24MiB / 23.47GiB","0.40%","1.51MB / 1.75MB","0B / 0B","47"
"2025-03-12 14:14:07","ALL","All Containers","6.17%","1,046.75 MB","8.97%","0 MB / 0 MB","0 MB / 0 MB","1044"
"2025-03-12 14:14:19","7941f509fee6","hdfs-spark-hive-docker-history-1","0.52%","948.5MiB / 23.47GiB","3.95%","64MB / 455kB","0B / 0B","100"
"2025-03-12 14:14:19","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.93%","3.578GiB / 23.47GiB","15.24%","2.37GB / 1.42GB","0B / 0B","240"
"2025-03-12 14:14:19","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","1.27%","3.705GiB / 23.47GiB","15.78%","2.41GB / 1.31GB","0B / 0B","242"
"2025-03-12 14:14:19","a3d3766552e1","hdfs-spark-hive-docker-master-1","3.13%","2.228GiB / 23.47GiB","9.49%","21.6MB / 2.14GB","0B / 0B","415"
"2025-03-12 14:14:19","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.23MiB / 23.47GiB","0.40%","1.51MB / 1.75MB","0B / 0B","47"
"2025-03-12 14:14:19","ALL","All Containers","6.85%","1,053.24 MB","8.97%","0 MB / 0 MB","0 MB / 0 MB","1044"
"2025-03-12 14:14:30","7941f509fee6","hdfs-spark-hive-docker-history-1","0.81%","948.6MiB / 23.47GiB","3.95%","64MB / 455kB","0B / 0B","100"
"2025-03-12 14:14:30","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.58%","3.578GiB / 23.47GiB","15.24%","2.37GB / 1.42GB","0B / 0B","240"
"2025-03-12 14:14:30","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","1.31%","3.705GiB / 23.47GiB","15.78%","2.41GB / 1.31GB","0B / 0B","242"
"2025-03-12 14:14:30","a3d3766552e1","hdfs-spark-hive-docker-master-1","3.31%","2.229GiB / 23.47GiB","9.49%","21.6MB / 2.14GB","0B / 0B","417"
"2025-03-12 14:14:30","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.24MiB / 23.47GiB","0.40%","1.51MB / 1.75MB","0B / 0B","47"
"2025-03-12 14:14:30","ALL","All Containers","7.01%","1,053.35 MB","8.97%","0 MB / 0 MB","0 MB / 0 MB","1046"
"2025-03-12 14:14:41","7941f509fee6","hdfs-spark-hive-docker-history-1","0.46%","948.6MiB / 23.47GiB","3.95%","64MB / 456kB","0B / 0B","100"
"2025-03-12 14:14:41","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.33%","3.577GiB / 23.47GiB","15.24%","2.37GB / 1.42GB","0B / 0B","238"
"2025-03-12 14:14:41","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","1.53%","3.704GiB / 23.47GiB","15.78%","2.41GB / 1.31GB","0B / 0B","237"
"2025-03-12 14:14:41","a3d3766552e1","hdfs-spark-hive-docker-master-1","2.66%","2.228GiB / 23.47GiB","9.49%","21.6MB / 2.14GB","0B / 0B","415"
"2025-03-12 14:14:41","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.23MiB / 23.47GiB","0.40%","1.51MB / 1.75MB","0B / 0B","47"
"2025-03-12 14:14:41","ALL","All Containers","5.98%","1,053.34 MB","8.97%","0 MB / 0 MB","0 MB / 0 MB","1037"
"2025-03-12 14:14:52","7941f509fee6","hdfs-spark-hive-docker-history-1","2.26%","952.7MiB / 23.47GiB","3.96%","64.1MB / 458kB","0B / 0B","100"
"2025-03-12 14:14:52","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.31%","3.577GiB / 23.47GiB","15.24%","2.37GB / 1.42GB","0B / 0B","237"
"2025-03-12 14:14:52","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","2.25%","3.704GiB / 23.47GiB","15.78%","2.41GB / 1.31GB","0B / 0B","237"
"2025-03-12 14:14:52","a3d3766552e1","hdfs-spark-hive-docker-master-1","3.56%","2.228GiB / 23.47GiB","9.49%","21.6MB / 2.14GB","0B / 0B","415"
"2025-03-12 14:14:52","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.04%","95.36MiB / 23.47GiB","0.40%","1.51MB / 1.75MB","0B / 0B","47"
"2025-03-12 14:14:52","ALL","All Containers","9.42%","1,057.57 MB","8.97%","0 MB / 0 MB","0 MB / 0 MB","1036"
"2025-03-12 14:15:03","7941f509fee6","hdfs-spark-hive-docker-history-1","0.32%","952.7MiB / 23.47GiB","3.96%","64.1MB / 458kB","0B / 0B","100"
"2025-03-12 14:15:03","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.45%","3.577GiB / 23.47GiB","15.24%","2.37GB / 1.42GB","0B / 0B","237"
"2025-03-12 14:15:03","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","1.83%","3.704GiB / 23.47GiB","15.78%","2.42GB / 1.32GB","0B / 0B","237"
"2025-03-12 14:15:03","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.94%","2.599GiB / 23.47GiB","11.07%","21.6MB / 2.14GB","0B / 0B","494"
"2025-03-12 14:15:03","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.24MiB / 23.47GiB","0.40%","1.51MB / 1.75MB","0B / 0B","47"
"2025-03-12 14:15:03","ALL","All Containers","4.54%","1,057.82 MB","9.29%","0 MB / 0 MB","0 MB / 0 MB","1115"
"2025-03-12 14:15:14","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","954.7MiB / 23.47GiB","3.97%","64.1MB / 459kB","0B / 0B","100"
"2025-03-12 14:15:14","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.93%","4.189GiB / 23.47GiB","17.84%","2.38GB / 1.42GB","0B / 0B","332"
"2025-03-12 14:15:14","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","161.93%","4.067GiB / 23.47GiB","17.33%","2.42GB / 1.32GB","0B / 0B","286"
"2025-03-12 14:15:14","a3d3766552e1","hdfs-spark-hive-docker-master-1","4.73%","2.827GiB / 23.47GiB","12.05%","21.7MB / 2.14GB","0B / 0B","510"
"2025-03-12 14:15:14","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.24MiB / 23.47GiB","0.40%","1.51MB / 1.75MB","0B / 0B","47"
"2025-03-12 14:15:14","ALL","All Containers","168.72%","1,061.02 MB","10.32%","0 MB / 0 MB","0 MB / 0 MB","1275"
"2025-03-12 14:15:25","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","958.8MiB / 23.47GiB","3.99%","64.2MB / 463kB","0B / 0B","100"
"2025-03-12 14:15:25","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","109.50%","4.828GiB / 23.47GiB","20.57%","2.38GB / 1.42GB","0B / 0B","325"
"2025-03-12 14:15:25","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","110.10%","4.625GiB / 23.47GiB","19.70%","2.42GB / 1.32GB","0B / 0B","286"
"2025-03-12 14:15:25","a3d3766552e1","hdfs-spark-hive-docker-master-1","3.46%","2.829GiB / 23.47GiB","12.05%","21.8MB / 2.14GB","0B / 0B","513"
"2025-03-12 14:15:25","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.23MiB / 23.47GiB","0.40%","1.51MB / 1.75MB","0B / 0B","47"
"2025-03-12 14:15:25","ALL","All Containers","223.19%","1,066.31 MB","11.34%","0 MB / 0 MB","0 MB / 0 MB","1271"
"2025-03-12 14:15:37","7941f509fee6","hdfs-spark-hive-docker-history-1","0.11%","960.8MiB / 23.47GiB","4.00%","64.2MB / 464kB","0B / 0B","100"
