id,name,start_time,launch_time,finish_time,runtime_seconds
application_1741747991273_0049,Test500MB_Window_32,Wed Mar 12 02:12:36 -0700 2025,Wed Mar 12 02:12:36 -0700 2025,Wed Mar 12 02:13:05 -0700 2025,29.0
application_1741747991273_0048,Test500MB_Window_16,Wed Mar 12 02:11:23 -0700 2025,Wed Mar 12 02:11:23 -0700 2025,Wed Mar 12 02:11:51 -0700 2025,28.0
application_1741747991273_0047,Test500MB_Window_4,Wed Mar 12 02:10:14 -0700 2025,Wed Mar 12 02:10:14 -0700 2025,Wed Mar 12 02:10:43 -0700 2025,29.0
application_1741747991273_0046,Test500MB_Join_4,Wed Mar 12 02:07:02 -0700 2025,Wed Mar 12 02:07:02 -0700 2025,Wed Mar 12 02:09:43 -0700 2025,161.0
application_1741747991273_0045,Test500MB_Aggregate_32,Wed Mar 12 02:05:53 -0700 2025,Wed Mar 12 02:05:53 -0700 2025,Wed Mar 12 02:06:22 -0700 2025,29.0
application_1741747991273_0044,Test500MB_Aggregate_16,Wed Mar 12 02:04:48 -0700 2025,Wed Mar 12 02:04:48 -0700 2025,Wed Mar 12 02:05:17 -0700 2025,29.0
application_1741747991273_0043,Test500MB_Aggregate_4,Wed Mar 12 02:03:42 -0700 2025,Wed Mar 12 02:03:42 -0700 2025,Wed Mar 12 02:04:11 -0700 2025,29.0
application_1741747991273_0042,Test500MB_Aggregate_4,Wed Mar 12 01:58:58 -0700 2025,Wed Mar 12 01:58:58 -0700 2025,Wed Mar 12 01:59:08 -0700 2025,10.0
application_1741747991273_0041,Test500MB_Window,Wed Mar 12 01:57:29 -0700 2025,Wed Mar 12 01:57:30 -0700 2025,Wed Mar 12 01:57:53 -0700 2025,24.0
application_1741747991273_0040,Test500MB_Join,Wed Mar 12 01:34:16 -0700 2025,Wed Mar 12 01:34:16 -0700 2025,Wed Mar 12 01:56:40 -0700 2025,1344.0
application_1741747991273_0039,Test500MB_Aggregate,Wed Mar 12 01:32:22 -0700 2025,Wed Mar 12 01:32:23 -0700 2025,Wed Mar 12 01:32:45 -0700 2025,23.0
application_1741747991273_0038,Test500MB_Aggregate,Wed Mar 12 01:20:42 -0700 2025,Wed Mar 12 01:20:42 -0700 2025,Wed Mar 12 01:20:59 -0700 2025,17.0
application_1741747991273_0037,Test50MB_Aggregate,Wed Mar 12 01:17:49 -0700 2025,Wed Mar 12 01:17:50 -0700 2025,Wed Mar 12 01:18:08 -0700 2025,19.0
application_1741747991273_0036,Test5MB_Aggregate,Wed Mar 12 01:15:45 -0700 2025,Wed Mar 12 01:15:45 -0700 2025,Wed Mar 12 01:16:01 -0700 2025,16.0
application_1741747991273_0035,Test500MB_Aggregate,Wed Mar 12 01:13:07 -0700 2025,Wed Mar 12 01:13:08 -0700 2025,Wed Mar 12 01:13:24 -0700 2025,17.0
application_1741747991273_0034,Test500MB_Aggregate,Wed Mar 12 01:12:19 -0700 2025,Wed Mar 12 01:12:20 -0700 2025,Wed Mar 12 01:12:36 -0700 2025,17.0
application_1741747991273_0033,Test500MB_Join,Wed Mar 12 01:06:33 -0700 2025,Wed Mar 12 01:06:33 -0700 2025,Wed Mar 12 01:06:55 -0700 2025,22.0
application_1741747991273_0032,Test500MB_Aggregate,Wed Mar 12 01:05:18 -0700 2025,Wed Mar 12 01:05:19 -0700 2025,Wed Mar 12 01:05:38 -0700 2025,20.0
application_1741747991273_0031,Test50MB_Window_32,Wed Mar 12 01:02:07 -0700 2025,Wed Mar 12 01:02:08 -0700 2025,Wed Mar 12 01:02:24 -0700 2025,17.0
application_1741747991273_0030,Test50MB_Window_16,Wed Mar 12 01:01:25 -0700 2025,Wed Mar 12 01:01:25 -0700 2025,Wed Mar 12 01:01:43 -0700 2025,18.0
