id,name,start_time,launch_time,finish_time,runtime_seconds
application_1741747991273_0019,Test50MB_Aggregate,Wed Mar 12 00:49:42 -0700 2025,Wed Mar 12 00:49:42 -0700 2025,Wed Mar 12 00:50:00 -0700 2025,18.0
application_1741747991273_0023,Test50MB_Aggregate_16,Wed Mar 12 00:55:10 -0700 2025,Wed Mar 12 00:55:10 -0700 2025,Wed Mar 12 00:55:26 -0700 2025,16.0
application_1741747991273_0024,Test50MB_Aggregate_32,Wed Mar 12 00:55:56 -0700 2025,Wed Mar 12 00:55:57 -0700 2025,Wed Mar 12 00:56:13 -0700 2025,17.0
application_1741747991273_0022,Test50MB_Aggregate_4,Wed Mar 12 00:54:04 -0700 2025,Wed Mar 12 00:54:04 -0700 2025,Wed Mar 12 00:54:20 -0700 2025,16.0
application_1741747991273_0020,Test50MB_Join,Wed Mar 12 00:51:42 -0700 2025,Wed Mar 12 00:51:42 -0700 2025,Wed Mar 12 00:52:01 -0700 2025,19.0
application_1741747991273_0026,Test50MB_Join_16,Wed Mar 12 00:57:49 -0700 2025,Wed Mar 12 00:57:49 -0700 2025,Wed Mar 12 00:58:06 -0700 2025,17.0
application_1741747991273_0027,Test50MB_Join_32,Wed Mar 12 00:58:52 -0700 2025,Wed Mar 12 00:58:53 -0700 2025,Wed Mar 12 00:59:09 -0700 2025,17.0
application_1741747991273_0025,Test50MB_Join_4,Wed Mar 12 00:56:56 -0700 2025,Wed Mar 12 00:56:56 -0700 2025,Wed Mar 12 00:57:13 -0700 2025,17.0
application_1741747991273_0021,Test50MB_Window,Wed Mar 12 00:52:37 -0700 2025,Wed Mar 12 00:52:37 -0700 2025,Wed Mar 12 00:52:56 -0700 2025,19.0
application_1741747991273_0029,Test50MB_Window_16,Wed Mar 12 01:00:20 -0700 2025,Wed Mar 12 01:00:20 -0700 2025,Wed Mar 12 01:00:32 -0700 2025,12.0
application_1741747991273_0030,Test50MB_Window_16,Wed Mar 12 01:01:25 -0700 2025,Wed Mar 12 01:01:25 -0700 2025,Wed Mar 12 01:01:43 -0700 2025,18.0
application_1741747991273_0031,Test50MB_Window_32,Wed Mar 12 01:02:07 -0700 2025,Wed Mar 12 01:02:08 -0700 2025,Wed Mar 12 01:02:24 -0700 2025,17.0
application_1741747991273_0028,Test50MB_Window_4,Wed Mar 12 00:59:38 -0700 2025,Wed Mar 12 00:59:38 -0700 2025,Wed Mar 12 00:59:55 -0700 2025,17.0
application_1741747991273_0012,Test5MB_Aggregate_32,Wed Mar 12 00:35:05 -0700 2025,Wed Mar 12 00:35:05 -0700 2025,Wed Mar 12 00:35:19 -0700 2025,14.0
application_1741747991273_0014,Test5MB_Join_16,Wed Mar 12 00:37:11 -0700 2025,Wed Mar 12 00:37:12 -0700 2025,Wed Mar 12 00:37:27 -0700 2025,16.0
application_1741747991273_0015,Test5MB_Join_32,Wed Mar 12 00:38:02 -0700 2025,Wed Mar 12 00:38:02 -0700 2025,Wed Mar 12 00:38:18 -0700 2025,16.0
application_1741747991273_0013,Test5MB_Join_4,Wed Mar 12 00:36:21 -0700 2025,Wed Mar 12 00:36:21 -0700 2025,Wed Mar 12 00:36:35 -0700 2025,14.0
application_1741747991273_0017,Test5MB_Window_16,Wed Mar 12 00:40:46 -0700 2025,Wed Mar 12 00:40:46 -0700 2025,Wed Mar 12 00:41:01 -0700 2025,15.0
application_1741747991273_0018,Test5MB_Window_32,Wed Mar 12 00:41:37 -0700 2025,Wed Mar 12 00:41:37 -0700 2025,Wed Mar 12 00:41:52 -0700 2025,15.0
application_1741747991273_0016,Test5MB_Window_4,Wed Mar 12 00:38:50 -0700 2025,Wed Mar 12 00:38:51 -0700 2025,Wed Mar 12 00:39:05 -0700 2025,15.0
