"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 00:55:41","7941f509fee6","hdfs-spark-hive-docker-history-1","0.19%","1012MiB / 23.47GiB","4.21%","28.4MB / 1.44MB","0B / 0B","100"
"2025-03-12 00:55:41","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.66%","1.866GiB / 23.47GiB","7.95%","757MB / 414MB","0B / 0B","246"
"2025-03-12 00:55:41","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.59%","1.883GiB / 23.47GiB","8.02%","759MB / 465MB","0B / 0B","243"
"2025-03-12 00:55:41","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.17%","2.109GiB / 23.47GiB","8.99%","51MB / 715MB","0B / 0B","420"
"2025-03-12 00:55:41","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.7MiB / 23.47GiB","0.26%","3.74MB / 4.03MB","0B / 0B","27"
"2025-03-12 00:55:41","ALL","All Containers","2.61%","1,080.56 MB","5.89%","0 MB / 0 MB","0 MB / 0 MB","1036"
"2025-03-12 00:55:52","7941f509fee6","hdfs-spark-hive-docker-history-1","0.16%","1012MiB / 23.47GiB","4.21%","28.4MB / 1.44MB","0B / 0B","100"
"2025-03-12 00:55:52","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.44%","1.866GiB / 23.47GiB","7.95%","757MB / 414MB","0B / 0B","246"
"2025-03-12 00:55:52","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","65.79%","1.911GiB / 23.47GiB","8.14%","762MB / 465MB","0B / 0B","277"
"2025-03-12 00:55:52","a3d3766552e1","hdfs-spark-hive-docker-master-1","23.69%","2.477GiB / 23.47GiB","10.55%","51.1MB / 717MB","0B / 0B","502"
"2025-03-12 00:55:52","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.7MiB / 23.47GiB","0.26%","3.74MB / 4.03MB","0B / 0B","27"
"2025-03-12 00:55:52","ALL","All Containers","90.08%","1,080.95 MB","6.22%","0 MB / 0 MB","0 MB / 0 MB","1152"
"2025-03-12 00:56:03","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","1012MiB / 23.47GiB","4.21%","28.4MB / 1.44MB","0B / 0B","100"
"2025-03-12 00:56:03","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.58%","2.137GiB / 23.47GiB","9.10%","760MB / 417MB","0B / 0B","289"
"2025-03-12 00:56:03","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","322.15%","2.564GiB / 23.47GiB","10.92%","762MB / 465MB","0B / 0B","326"
"2025-03-12 00:56:03","a3d3766552e1","hdfs-spark-hive-docker-master-1","165.76%","2.746GiB / 23.47GiB","11.70%","51.1MB / 718MB","0B / 0B","527"
"2025-03-12 00:56:03","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.7MiB / 23.47GiB","0.26%","3.74MB / 4.03MB","0B / 0B","27"
"2025-03-12 00:56:03","ALL","All Containers","488.62%","1,082.15 MB","7.24%","0 MB / 0 MB","0 MB / 0 MB","1269"
"2025-03-12 00:56:14","7941f509fee6","hdfs-spark-hive-docker-history-1","0.19%","1012MiB / 23.47GiB","4.21%","28.5MB / 1.44MB","0B / 0B","100"
"2025-03-12 00:56:14","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.54%","1.867GiB / 23.47GiB","7.95%","761MB / 418MB","0B / 0B","247"
"2025-03-12 00:56:14","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.83%","1.885GiB / 23.47GiB","8.03%","763MB / 467MB","0B / 0B","248"
"2025-03-12 00:56:14","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.06%","2.11GiB / 23.47GiB","8.99%","51.5MB / 719MB","0B / 0B","424"
"2025-03-12 00:56:14","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","62.7MiB / 23.47GiB","0.26%","3.74MB / 4.03MB","0B / 0B","27"
"2025-03-12 00:56:14","ALL","All Containers","2.63%","1,080.56 MB","5.89%","0 MB / 0 MB","0 MB / 0 MB","1046"
