TimeStamp,Container,Name,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-12 00:30:46,7941f509fee6,hdfs-spark-hive-docker-history-1,0.36%,1023MiB / 23.47GiB,4.26%,15.9MB / 1.23MB,0B / 0B,100
2025-03-12 00:30:46,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,1.32%,1.783GiB / 23.47GiB,7.59%,695MB / 373MB,0B / 0B,237
2025-03-12 00:30:46,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,1.15%,1.827GiB / 23.47GiB,7.79%,696MB / 423MB,0B / 0B,237
2025-03-12 00:30:46,a3d3766552e1,hdfs-spark-hive-docker-master-1,2.74%,2.088GiB / 23.47GiB,8.89%,32.8MB / 642MB,0B / 0B,389
2025-03-12 00:30:46,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.01%,61.85MiB / 23.47GiB,0.26%,3.03MB / 3.13MB,0B / 0B,27
2025-03-12 00:30:46,ALL,All Containers,5.58%,6.76GiB / 23.47GiB,28.79%,1.44GB / 1.44GB,0B / 0B,990
2025-03-12 00:30:57,7941f509fee6,hdfs-spark-hive-docker-history-1,0.35%,1023MiB / 23.47GiB,4.26%,15.9MB / 1.23MB,0B / 0B,100
2025-03-12 00:30:57,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,1.37%,1.782GiB / 23.47GiB,7.59%,695MB / 373MB,0B / 0B,237
2025-03-12 00:30:57,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.60%,1.827GiB / 23.47GiB,7.79%,696MB / 423MB,0B / 0B,237
2025-03-12 00:30:57,a3d3766552e1,hdfs-spark-hive-docker-master-1,1.42%,2.088GiB / 23.47GiB,8.89%,32.8MB / 642MB,0B / 0B,389
2025-03-12 00:30:57,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,61.73MiB / 23.47GiB,0.26%,3.03MB / 3.13MB,0B / 0B,27
2025-03-12 00:30:57,ALL,All Containers,3.74%,6.76GiB / 23.47GiB,28.79%,1.44GB / 1.44GB,0B / 0B,990
2025-03-12 00:31:08,7941f509fee6,hdfs-spark-hive-docker-history-1,0.17%,1023MiB / 23.47GiB,4.26%,15.9MB / 1.23MB,0B / 0B,100
2025-03-12 00:31:08,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,0.59%,1.783GiB / 23.47GiB,7.59%,695MB / 373MB,0B / 0B,237
2025-03-12 00:31:08,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.57%,1.827GiB / 23.47GiB,7.79%,696MB / 423MB,0B / 0B,237
2025-03-12 00:31:08,a3d3766552e1,hdfs-spark-hive-docker-master-1,207.90%,2.326GiB / 23.47GiB,9.91%,32.8MB / 642MB,0B / 0B,437
2025-03-12 00:31:08,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,61.73MiB / 23.47GiB,0.26%,3.03MB / 3.13MB,0B / 0B,27
2025-03-12 00:31:08,ALL,All Containers,209.23%,7.00GiB / 23.47GiB,29.81%,1.44GB / 1.44GB,0B / 0B,1038
2025-03-12 00:31:18,7941f509fee6,hdfs-spark-hive-docker-history-1,0.13%,1023MiB / 23.47GiB,4.26%,15.9MB / 1.23MB,0B / 0B,100
2025-03-12 00:31:18,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,158.09%,1.981GiB / 23.47GiB,8.44%,698MB / 373MB,0B / 0B,277
2025-03-12 00:31:18,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,228.45%,2.36GiB / 23.47GiB,10.05%,699MB / 426MB,0B / 0B,319
2025-03-12 00:31:18,a3d3766552e1,hdfs-spark-hive-docker-master-1,244.00%,2.64GiB / 23.47GiB,11.25%,32.9MB / 645MB,0B / 0B,485
2025-03-12 00:31:18,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,4.39%,70.25MiB / 23.47GiB,0.29%,3.11MB / 3.21MB,0B / 0B,31
2025-03-12 00:31:18,ALL,All Containers,635.06%,8.05GiB / 23.47GiB,34.29%,1.45GB / 1.45GB,0B / 0B,1212
2025-03-12 00:31:29,7941f509fee6,hdfs-spark-hive-docker-history-1,0.13%,1023MiB / 23.47GiB,4.26%,16MB / 1.23MB,0B / 0B,100
2025-03-12 00:31:29,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,180.33%,2.269GiB / 23.47GiB,9.67%,698MB / 373MB,0B / 0B,290
2025-03-12 00:31:29,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.81%,2.629GiB / 23.47GiB,11.20%,700MB / 426MB,0B / 0B,328
2025-03-12 00:31:29,a3d3766552e1,hdfs-spark-hive-docker-master-1,0.92%,2.088GiB / 23.47GiB,8.90%,33.5MB / 647MB,0B / 0B,394
2025-03-12 00:31:29,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,61.73MiB / 23.47GiB,0.26%,3.13MB / 3.26MB,0B / 0B,27
2025-03-12 00:31:29,ALL,All Containers,182.19%,8.05GiB / 23.47GiB,34.28%,1.45GB / 1.45GB,0B / 0B,1139
