id,name,start_time,launch_time,finish_time,runtime_seconds
application_1741747991273_0044,Test500MB_Aggregate_16,Wed Mar 12 02:04:48 -0700 2025,Wed Mar 12 02:04:48 -0700 2025,Wed Mar 12 02:05:17 -0700 2025,29.0
application_1741747991273_0045,Test500MB_Aggregate_32,Wed Mar 12 02:05:53 -0700 2025,Wed Mar 12 02:05:53 -0700 2025,Wed Mar 12 02:06:22 -0700 2025,29.0
application_1741747991273_0042,Test500MB_Aggregate_4,Wed Mar 12 01:58:58 -0700 2025,Wed Mar 12 01:58:58 -0700 2025,Wed Mar 12 01:59:08 -0700 2025,10.0
application_1741747991273_0043,Test500MB_Aggregate_4,Wed Mar 12 02:03:42 -0700 2025,Wed Mar 12 02:03:42 -0700 2025,Wed Mar 12 02:04:11 -0700 2025,29.0
application_1741747991273_0058,Test500MB_ExternalJoin,Wed Mar 12 02:52:00 -0700 2025,Wed Mar 12 02:52:00 -0700 2025,Wed Mar 12 02:52:21 -0700 2025,21.0
application_1741747991273_0060,Test500MB_ExternalJoin_16,Wed Mar 12 02:55:35 -0700 2025,Wed Mar 12 02:55:35 -0700 2025,Wed Mar 12 02:56:04 -0700 2025,29.0
application_1741747991273_0059,Test500MB_ExternalJoin_4,Wed Mar 12 02:54:07 -0700 2025,Wed Mar 12 02:54:07 -0700 2025,Wed Mar 12 02:54:37 -0700 2025,30.0
application_1741747991273_0046,Test500MB_Join_4,Wed Mar 12 02:07:02 -0700 2025,Wed Mar 12 02:07:02 -0700 2025,Wed Mar 12 02:09:43 -0700 2025,161.0
application_1741747991273_0048,Test500MB_Window_16,Wed Mar 12 02:11:23 -0700 2025,Wed Mar 12 02:11:23 -0700 2025,Wed Mar 12 02:11:51 -0700 2025,28.0
application_1741747991273_0049,Test500MB_Window_32,Wed Mar 12 02:12:36 -0700 2025,Wed Mar 12 02:12:36 -0700 2025,Wed Mar 12 02:13:05 -0700 2025,29.0
application_1741747991273_0047,Test500MB_Window_4,Wed Mar 12 02:10:14 -0700 2025,Wed Mar 12 02:10:14 -0700 2025,Wed Mar 12 02:10:43 -0700 2025,29.0
application_1741747991273_0050,Test50MB_ExternalJoin,Wed Mar 12 02:43:22 -0700 2025,Wed Mar 12 02:43:22 -0700 2025,Wed Mar 12 02:43:31 -0700 2025,9.0
application_1741747991273_0054,Test50MB_ExternalJoin,Wed Mar 12 02:47:34 -0700 2025,Wed Mar 12 02:47:34 -0700 2025,Wed Mar 12 02:47:54 -0700 2025,20.0
application_1741747991273_0056,Test50MB_ExternalJoin_16,Wed Mar 12 02:49:49 -0700 2025,Wed Mar 12 02:49:49 -0700 2025,Wed Mar 12 02:50:06 -0700 2025,17.0
application_1741747991273_0057,Test50MB_ExternalJoin_32,Wed Mar 12 02:50:43 -0700 2025,Wed Mar 12 02:50:43 -0700 2025,Wed Mar 12 02:51:00 -0700 2025,17.0
application_1741747991273_0055,Test50MB_ExternalJoin_4,Wed Mar 12 02:48:48 -0700 2025,Wed Mar 12 02:48:48 -0700 2025,Wed Mar 12 02:49:05 -0700 2025,17.0
