"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 02:51:36","7941f509fee6","hdfs-spark-hive-docker-history-1","0.15%","990.3MiB / 23.47GiB","4.12%","66.3MB / 2.34MB","0B / 0B","100"
"2025-03-12 02:51:36","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.59%","1.88GiB / 23.47GiB","8.01%","1.09GB / 670MB","0B / 0B","244"
"2025-03-12 02:51:36","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.52%","1.939GiB / 23.47GiB","8.26%","1.07GB / 757MB","0B / 0B","242"
"2025-03-12 02:51:36","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.33%","2.308GiB / 23.47GiB","9.83%","83.2MB / 876MB","0B / 0B","428"
"2025-03-12 02:51:36","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","62.67MiB / 23.47GiB","0.26%","5.42MB / 6.54MB","0B / 0B","27"
"2025-03-12 02:51:36","ALL","All Containers","2.60%","1,059.10 MB","6.10%","0 MB / 0 MB","0 MB / 0 MB","1041"
"2025-03-12 02:51:47","7941f509fee6","hdfs-spark-hive-docker-history-1","0.18%","990.3MiB / 23.47GiB","4.12%","66.4MB / 2.35MB","0B / 0B","100"
"2025-03-12 02:51:47","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.53%","1.88GiB / 23.47GiB","8.01%","1.09GB / 670MB","0B / 0B","244"
"2025-03-12 02:51:47","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.60%","1.939GiB / 23.47GiB","8.26%","1.07GB / 757MB","0B / 0B","242"
"2025-03-12 02:51:47","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.18%","2.308GiB / 23.47GiB","9.83%","83.2MB / 876MB","0B / 0B","428"
"2025-03-12 02:51:47","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.67MiB / 23.47GiB","0.26%","5.42MB / 6.54MB","0B / 0B","27"
"2025-03-12 02:51:47","ALL","All Containers","2.49%","1,059.10 MB","6.10%","0 MB / 0 MB","0 MB / 0 MB","1041"
"2025-03-12 02:51:58","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","990.3MiB / 23.47GiB","4.12%","66.4MB / 2.35MB","0B / 0B","100"
"2025-03-12 02:51:58","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","91.75%","1.939GiB / 23.47GiB","8.26%","1.09GB / 673MB","0B / 0B","278"
"2025-03-12 02:51:58","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.38%","1.939GiB / 23.47GiB","8.26%","1.07GB / 757MB","0B / 0B","238"
"2025-03-12 02:51:58","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.99%","2.686GiB / 23.47GiB","11.44%","83.2MB / 879MB","0B / 0B","517"
"2025-03-12 02:51:58","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.67MiB / 23.47GiB","0.26%","5.42MB / 6.54MB","0B / 0B","27"
"2025-03-12 02:51:58","ALL","All Containers","94.25%","1,059.53 MB","6.47%","0 MB / 0 MB","0 MB / 0 MB","1160"
"2025-03-12 02:52:09","7941f509fee6","hdfs-spark-hive-docker-history-1","1.25%","990.3MiB / 23.47GiB","4.12%","66.5MB / 2.35MB","0B / 0B","100"
"2025-03-12 02:52:09","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.74%","2.458GiB / 23.47GiB","10.47%","1.09GB / 673MB","0B / 0B","325"
"2025-03-12 02:52:09","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.51%","2.201GiB / 23.47GiB","9.38%","1.07GB / 757MB","0B / 0B","285"
"2025-03-12 02:52:09","a3d3766552e1","hdfs-spark-hive-docker-master-1","186.67%","3.03GiB / 23.47GiB","12.91%","83.8MB / 880MB","0B / 0B","533"
"2025-03-12 02:52:09","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","71.57MiB / 23.47GiB","0.30%","5.52MB / 6.68MB","0B / 0B","31"
"2025-03-12 02:52:09","ALL","All Containers","189.17%","1,069.56 MB","7.44%","0 MB / 0 MB","0 MB / 0 MB","1274"
"2025-03-12 02:52:20","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","990.3MiB / 23.47GiB","4.12%","66.5MB / 2.35MB","0B / 0B","100"
"2025-03-12 02:52:20","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","5.31%","1.885GiB / 23.47GiB","8.03%","1.09GB / 674MB","0B / 0B","246"
"2025-03-12 02:52:20","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.68%","1.94GiB / 23.47GiB","8.27%","1.07GB / 757MB","0B / 0B","244"
"2025-03-12 02:52:20","a3d3766552e1","hdfs-spark-hive-docker-master-1","0.73%","2.308GiB / 23.47GiB","9.83%","84.5MB / 882MB","0B / 0B","430"
"2025-03-12 02:52:20","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.67MiB / 23.47GiB","0.26%","5.55MB / 6.75MB","0B / 0B","27"
"2025-03-12 02:52:20","ALL","All Containers","6.85%","1,059.10 MB","6.10%","0 MB / 0 MB","0 MB / 0 MB","1047"
