"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 02:56:21","7941f509fee6","hdfs-spark-hive-docker-history-1","0.19%","990.3MiB / 23.47GiB","4.12%","69.8MB / 2.39MB","0B / 0B","100"
"2025-03-12 02:56:21","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.61%","2.215GiB / 23.47GiB","9.44%","1.1GB / 701MB","0B / 0B","244"
"2025-03-12 02:56:21","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.54%","2.268GiB / 23.47GiB","9.66%","1.1GB / 760MB","0B / 0B","242"
"2025-03-12 02:56:21","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.19%","2.321GiB / 23.47GiB","9.89%","85.5MB / 890MB","0B / 0B","428"
"2025-03-12 02:56:21","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.68MiB / 23.47GiB","0.26%","5.71MB / 6.92MB","0B / 0B","27"
"2025-03-12 02:56:21","ALL","All Containers","2.53%","1,059.78 MB","6.67%","0 MB / 0 MB","0 MB / 0 MB","1041"
"2025-03-12 02:56:32","7941f509fee6","hdfs-spark-hive-docker-history-1","0.16%","990.3MiB / 23.47GiB","4.12%","69.8MB / 2.39MB","0B / 0B","100"
"2025-03-12 02:56:32","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.66%","2.215GiB / 23.47GiB","9.44%","1.1GB / 701MB","0B / 0B","243"
"2025-03-12 02:56:32","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.50%","2.268GiB / 23.47GiB","9.66%","1.1GB / 760MB","0B / 0B","241"
"2025-03-12 02:56:32","a3d3766552e1","hdfs-spark-hive-docker-master-1","39.02%","2.337GiB / 23.47GiB","9.96%","85.5MB / 890MB","0B / 0B","433"
"2025-03-12 02:56:32","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.68MiB / 23.47GiB","0.26%","5.71MB / 6.92MB","0B / 0B","27"
"2025-03-12 02:56:32","ALL","All Containers","40.34%","1,059.80 MB","6.69%","0 MB / 0 MB","0 MB / 0 MB","1044"
